museumId,museumName,collectionName,description,imageUrl,isUserAdded,addedAt,addedAtISO
beijing-natural-history-museum,国家自然博物馆,赫氏近鸟龙,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Anchiornis_huxleyi_%28fossil%29.jpg,,,
beijing-natural-history-museum,国家自然博物馆,黄河象,,https://upload.wikimedia.org/wikipedia/commons/9/99/%E9%BB%84%E6%B2%B3%E5%8F%A4%E8%B1%A1%E5%8C%96%E7%9F%B3.jpg,,,
beijing-planetarium,北京天文馆,南丹铁陨石,,https://upload.wikimedia.org/wikipedia/commons/2/25/Nantan_meteorite.jpg,,,
beijing-planetarium,北京天文馆,半克月岩,,"https://img0.baidu.com/it/u=536859570,1684498871&fm=253&fmt=auto&app=138?f=JPEG?w=667&h=500",,,
beijing-planetarium,北京天文馆,傅科摆,,"https://img2.baidu.com/it/u=1267850779,3705433856&fm=253&fmt=auto&app=138?f=JPEG?w=500&h=653",,,
hefei-museum,安徽博物院,安徽楚大鼎,用户添加的镇馆之宝,,true,1769175733387,2026-01-23T13:42:13.387Z
hefei-museum,安徽博物院,鄂君启金节,用户添加的镇馆之宝,,true,1769175753345,2026-01-23T13:42:33.345Z
hefei-museum,安徽博物院,战国青铜编钟,用户添加的镇馆之宝,,true,1769175769412,2026-01-23T13:42:49.412Z
beijing-art-museum,北京艺术博物馆,福寿纹贯耳,,"https://img1.baidu.com/it/u=2797022920,915622014&fm=253&fmt=auto&app=138?f=JPEG?w=500&h=667",,,
beijing-art-museum,北京艺术博物馆,夺宝佛铜塔,,"https://img2.baidu.com/it/u=2506043839,4219809379&fm=253&fmt=auto&app=138?f=JPEG?w=500&h=500",,,
beijing-art-museum,北京艺术博物馆,乾隆御碑亭,,"https://img1.baidu.com/it/u=792526853,3028727692&fm=253&fmt=auto&app=138?f=JPEG?w=770&h=500",,,
china-geology-museum,中国地质博物馆,中华龙鸟化石,用户添加的镇馆之宝,https://upload.wikimedia.org/wikipedia/commons/d/d9/Sinosauropteryx_lingyuanensis_fossil.jpg,,,
china-geology-museum,中国地质博物馆,狗头金,用户添加的镇馆之宝,https://upload.wikimedia.org/wikipedia/commons/3/37/CSIRO_ScienceImage_10458_An_8_kg_nugget_from_Victoria_that_was_cut_in_two_and_had_a_thin_slice.jpg,,,
china-geology-museum,中国地质博物馆,水晶王,用户添加的镇馆之宝,"https://img2.baidu.com/it/u=3552039703,512875177&fm=253&fmt=auto&app=138?f=JPEG?w=500&h=614",,,
china-archaeology-museum,中国考古博物馆,绿松石龙形器,,https://upload.wikimedia.org/wikipedia/commons/9/99/%E7%BB%BF%E6%9D%BE%E7%9F%B3%E9%BE%99%E5%BD%A2%E5%99%A8.jpg,,,
china-archaeology-museum,中国考古博物馆,嵌绿松石象牙杯,,https://upload.wikimedia.org/wikipedia/commons/4/4d/%E5%B5%8C%E7%BB%BF%E6%9D%BE%E7%9F%B3%E8%B1%A1%E7%89%99%E6%9D%AF.jpg,,,
china-archaeology-museum,中国考古博物馆,铜牺尊,,https://upload.wikimedia.org/wikipedia/commons/8/8f/%E5%BC%A0%E5%AE%B6%E5%9D%A1%E8%A5%BF%E5%91%A8%E5%A2%93%E5%9C%B0%E5%87%BA%E5%9C%9F%E9%93%9C%E7%89%BA%E5%B0%8A%2C_2024-06-23.jpg,,,
china-ancient-architecture-museum,北京古代建筑博物馆,天宫藻井,用户添加的镇馆之宝,"https://img2.baidu.com/it/u=174153967,4183730777&fm=253&fmt=auto&app=138&f=JPEG?w=667&h=500",,,
china-ancient-architecture-museum,北京古代建筑博物馆,蟠龙藻井,,"https://img2.baidu.com/it/u=3431981118,846959048&fm=253&fmt=auto&app=138?f=JPEG?w=514&h=500",,,
china-ancient-architecture-museum,北京古代建筑博物馆,神仓,,"https://img2.baidu.com/it/u=1492012639,440680397&fm=253&fmt=auto&app=138?f=JPEG?w=500&h=653",,,
